text,left,top,width,height,right,bottom,center_x,center_y
p.a.,2254,1072,37,18,2291,1090,2272.5,1081.0
Safe,11,1099,52,18,63,1117,37.0,1108.0
deposit,73,1099,88,23,161,1122,117.0,1110.5
boxes,171,1099,67,18,238,1117,204.5,1108.0
Annual,10,1131,76,18,86,1149,48.0,1140.0
rental,97,1131,58,18,155,1149,126.0,1140.0
and,164,1131,38,18,202,1149,183.0,1140.0
other,212,1131,56,18,268,1149,240.0,1140.0
charges,276,1131,84,23,360,1154,318.0,1142.5
1.,1125,1131,15,18,1140,1149,1132.5,1140.0
Please,1152,1131,67,18,1219,1149,1185.5,1140.0
refer,1229,1131,48,18,1277,1149,1253.0,1140.0
to,1284,1134,21,15,1305,1149,1294.5,1141.5
appropriate,1313,1131,124,23,1437,1154,1375.0,1142.5
branch,1447,1131,72,18,1519,1149,1483.0,1140.0
1.,1959,1131,16,18,1975,1149,1967.0,1140.0
Please,1986,1131,67,18,2053,1149,2019.5,1140.0
refer,2063,1131,48,18,2111,1149,2087.0,1140.0
to,2118,1134,21,15,2139,1149,2128.5,1141.5
appropriate,2148,1131,123,23,2271,1154,2209.5,1142.5
branch,2281,1131,72,18,2353,1149,2317.0,1140.0
2.,1029,1163,17,18,1046,1181,1037.5,1172.0
Customer,1056,1163,105,18,1161,1181,1108.5,1172.0
has,1170,1163,35,18,1205,1181,1187.5,1172.0
to,1213,1166,21,15,1234,1181,1223.5,1173.5
set,1243,1166,31,15,1274,1181,1258.5,1173.5
up,1283,1168,25,18,1308,1186,1295.5,1177.0
autopay,1317,1166,87,20,1404,1186,1360.5,1176.0
from,1411,1163,50,18,1461,1181,1436.0,1172.0
his/her,1471,1163,72,18,1543,1181,1507.0,1172.0
HSBC,1553,1163,61,18,1614,1181,1583.5,1172.0
2.,1672,1163,18,18,1690,1181,1681.0,1172.0
Customer,1699,1163,106,18,1805,1181,1752.0,1172.0
has,1814,1163,35,18,1849,1181,1831.5,1172.0
to,1857,1166,21,15,1878,1181,1867.5,1173.5
set,1887,1166,30,15,1917,1181,1902.0,1173.5
up,1927,1168,25,18,1952,1186,1939.5,1177.0
autopay,1961,1166,86,20,2047,1186,2004.0,1176.0
from,2055,1163,50,18,2105,1181,2080.0,1172.0
his/her,2115,1163,71,18,2186,1181,2150.5,1172.0
HSBC,2196,1163,61,18,2257,1181,2226.5,1172.0
"Jade,",2265,1163,57,21,2322,1184,2293.5,1173.5
HSBC,2334,1163,61,18,2395,1181,2364.5,1172.0
Premier,2406,1163,81,18,2487,1181,2446.5,1172.0
or,2495,1168,21,13,2516,1181,2505.5,1174.5
HSBC,2526,1163,61,18,2587,1181,2556.5,1172.0
One,2596,1163,43,18,2639,1181,2617.5,1172.0
account,1058,1193,86,15,1144,1208,1101.0,1200.5
for,1152,1190,29,18,1181,1208,1166.5,1199.0
the,1188,1190,34,18,1222,1208,1205.0,1199.0
annual,1231,1190,71,18,1302,1208,1266.5,1199.0
safe,1311,1190,44,18,1355,1208,1333.0,1199.0
deposit,1363,1190,79,23,1442,1213,1402.5,1201.5
box,1451,1190,38,18,1489,1208,1470.0,1199.0
rental,1498,1190,58,18,1556,1208,1527.0,1199.0
fee.,1565,1190,38,18,1603,1208,1584.0,1199.0
account,1892,1193,86,15,1978,1208,1935.0,1200.5
for,1986,1190,30,18,2016,1208,2001.0,1199.0
the,2023,1190,34,18,2057,1208,2040.0,1199.0
annual,2065,1190,71,18,2136,1208,2100.5,1199.0
safe,2146,1190,43,18,2189,1208,2167.5,1199.0
deposit,2198,1190,78,23,2276,1213,2237.0,1201.5
box,2286,1190,38,18,2324,1208,2305.0,1199.0
rental,2333,1190,58,18,2391,1208,2362.0,1199.0
fee.,2399,1190,39,18,2438,1208,2418.5,1199.0
1,13,1231,4,10,17,1241,15.0,1236.0
The,50,1231,21,10,71,1241,60.5,1236.0
following,76,1231,54,13,130,1244,103.0,1237.5
group,135,1234,35,10,170,1244,152.5,1239.0
of,175,1231,12,10,187,1241,181.0,1236.0
customers,191,1231,64,10,255,1241,223.0,1236.0
will,260,1231,19,10,279,1241,269.5,1236.0
be,283,1231,15,10,298,1241,290.5,1236.0
exempted,302,1231,61,13,363,1244,332.5,1237.5
from,368,1231,26,10,394,1241,381.0,1236.0
the,400,1231,19,10,419,1241,409.5,1236.0
fee:,424,1231,17,10,441,1241,432.5,1236.0
aged,449,1231,30,13,479,1244,464.0,1237.5
below,483,1231,37,10,520,1241,501.5,1236.0
18,526,1231,12,10,538,1241,532.0,1236.0
or,544,1234,11,7,555,1241,549.5,1237.5
66,559,1231,15,10,574,1241,566.5,1236.0
and,578,1231,23,10,601,1241,589.5,1236.0
"above,",605,1231,39,11,644,1242,624.5,1236.5
Senior,649,1231,40,10,689,1241,669.0,1236.0
Citizen,692,1231,40,10,732,1241,712.0,1236.0
Card,737,1231,29,10,766,1241,751.5,1236.0
"holders,",769,1231,47,11,816,1242,792.5,1236.5
recipients,822,1232,59,12,881,1244,851.5,1238.0
of,888,1231,10,10,898,1241,893.0,1236.0
Government's,901,1231,85,10,986,1241,943.5,1236.0
Comprehensive,990,1231,95,13,1085,1244,1037.5,1237.5
Social,1089,1231,37,10,1126,1241,1107.5,1236.0
Security,1133,1223,46,26,1179,1249,1156.0,1236.0
"Allowance,",1185,1223,64,26,1249,1249,1217.0,1236.0
recipients,1254,1232,59,12,1313,1244,1283.5,1238.0
of,1319,1231,11,10,1330,1241,1324.5,1236.0
Govemment's,1333,1231,85,10,1418,1241,1375.5,1236.0
Disability,1423,1223,55,26,1478,1249,1450.5,1236.0
Allowance,1484,1223,54,26,1538,1249,1511.0,1236.0
and,1549,1231,23,10,1572,1241,1560.5,1236.0
the,1577,1231,18,10,1595,1241,1586.0,1236.0
physically,1599,1231,60,13,1659,1244,1629.0,1237.5
disabled,1663,1231,51,10,1714,1241,1688.5,1236.0
or,1718,1234,12,7,1730,1241,1724.0,1237.5
visually,1735,1231,44,13,1779,1244,1757.0,1237.5
impaired.,1782,1231,54,13,1836,1244,1809.0,1237.5
2,11,1255,7,10,18,1265,14.5,1260.0
Waived,52,1251,57,10,109,1261,80.5,1256.0
if,100,1243,9,26,109,1269,104.5,1256.0
the,113,1251,18,10,131,1261,122.0,1256.0
cheques,135,1251,51,12,186,1263,160.5,1257.0
are,190,1254,19,7,209,1261,199.5,1257.5
deposited,213,1251,60,13,273,1264,243.0,1257.5
through,278,1251,46,13,324,1264,301.0,1257.5
cheque,329,1251,45,12,374,1263,351.5,1257.0
deposit,378,1251,45,13,423,1264,400.5,1257.5
machines,427,1251,58,10,485,1261,456.0,1256.0
or,490,1254,12,7,502,1261,496.0,1257.5
other,506,1251,32,10,538,1261,522.0,1256.0
